Cod_ditta,Ditta,Email
1,"Roller Chemical Srl","silviafaletti@gmail.com"
2,"BRENNTAG","silviafaletti@gmail.com"
3,"FUSINI SRL","silviafaletti@gmail.com"
4,"Autotrasporti Ortelli","silviafaletti@gmail.com"
104,"AUTOTRASPORTI NERVI","silviafaletti@gmail.com"
14,"personeni","silviafaletti@gmail.com"
16,"AUTOTRASPORTI GI.MA TRANS SRL","silviafaletti@gmail.com"
21,"BIAVA FABIO","silviafaletti@gmail.com"
26,"SIERO-LAT","silviafaletti@gmail.com"
29,"trasporti vismara","silviafaletti@gmail.com"
30,"ERRICO","silviafaletti@gmail.com"
33,"alberto biava","silviafaletti@gmail.com"
34,"acampora fabio","silviafaletti@gmail.com"
35,"GASTIN SRL","silviafaletti@gmail.com"
41,"cisaf","silviafaletti@gmail.com"
44,"FENAROLI TRASPORTI SRL","silviafaletti@gmail.com"
46,"TRUCK DRIVER SRL","silviafaletti@gmail.com"
49,"B.S. TRASPORTI SRL","silviafaletti@gmail.com"
54,"AUTOTRASPORTI GABANELLI","silviafaletti@gmail.com"
56,"MANNO ANGELO","silviafaletti@gmail.com"
137,"AUT.CAPPELLA SRL","silviafaletti@gmail.com"
61,"brenntagmilano","silviafaletti@gmail.com"
62,"STESI TRANS SRL","SILVIAFALETTI@GMAIL.COM"
64,"FRATELLI SANTINI","silviafaletti@gmail.com"
65,"NORDLINE SRL","silviafaletti@gmail.com"
68,"punto trasporti","SILVIAFALETTI@GMAIL.COM"
69,"arcadia rent","silviafaletti@gmail.com"
70,"PARVEZ","silviafaletti@gmail.com"
73,"valcavallina servizi","silviafaletti@gmail.com"
74,"AUTOSCUOLACAPITANIO","silviafaletti@gmail.com"
75,"PETRA","SILVIAFALETTI@GMAIL.COM"
76,"PETRA SERVIZI","SILVIAFALETTI@GMAIL.COM"
77,"arcieri","silviafaletti@gmail.com"
78,"TRASPORTI FERRARIO SRL","silviafaletti@gmail.com"
79,"trasporti patera","silviafaletti@gmail.com"
80,"masa giovanni srl","silviafaletti@gmail.com"
82,"AUTOTRASPORTI NICOLI SRL","silviafaletti@gmail.com"
84,"IMPRESA MILESI SERGIO SRL","SILVIAFALETTI@GMAIL.COM"
85,"AF TRASPORTI SRL","silviafaletti@gmail.com"
86,"bettoni 4,0","silviafaletti@gmail.com"
87,"autotrasporti arnoldi","silviafaletti@gmail.com"
88,"COMUNE DI ADRO","silviafaletti@gmail.com"
89,"autotrasporti cristinelli srl","silviafaletti@gmail.com"
90,"COMCO","silviafaletti@gmail.com"
91,"AUTOTRASPORTI BOTALI SRL","silviafaletti@gmail.com"
93,"ECORETRAS SRL","silviafaletti@gmail.com"
94,"BETTONI SPA","silviafaletti@gmail.com"
95,"TRASPORTI PFC","silviafaletti@gmail.com"
96,"PFC2000SRL","silviafaletti@gmail.com"
97,"G&G trasporti","silviafaletti@gmail.com"
99,"giudici pietro dei f.lli giudici igor e iames snc","silviafaletti@gmail.com"
100,"MARONE LUIGI SRL",
102,"mftrasporti","silviafaletti@gmail.com"
105,"OLITRANS","silviafaletti@gmail.com"
106,"DVG AUTOTRASPORTI","silviafaletti@gmail.com"
108,"DRAGO","silviafaletti@gmail.com"
109,"gruppoforesti","silviafaletti@gmail.com"
110,"IMPRESA SM","info@impresasm.it"
111,"AUTOTRASPORTI EREDI ASPERTI","SILVIAFALETTI@GMAIL.COM"
114,"TRASPOTER SRL","silviafaletti@gmail.com"
115,"IMPRESA EDILE STRADALE ARTIFONI S.R.L.","silviafaletti@gmail.com"
116,"maura","silviafaletti@gmail.com"
117,"QUADRI",
118,"G-COMMERCE SRL","silviafaletti@gmail.com"
119,"servizi integrati","silviafaletti@gmail.com"
121,"PESENTI","silviafaletti@gmail.com"
122,"MACRI",
123,"ANDRIOLETTI","silviafaletti@gmail.com"
124,"LOCATELLI LAVORI STRADALI","SILVIAFALETTI@GMAIL.COM"
125,"C&G",
126,"ANTRAS LOG ITALIA SRL","alexandra@worenco.com"
127,"LA CISA SRL",
128,"italgreen spa",
129,"autotrasporti rottoli srl","silviafaletti@gmail.com"
130,"moviter",
131,"AUTOTRASPORTI F.LLI CUMINETTI",
132,"M.G. TRASPORTI DI LOCARDI ADELE & C SNC",
133,"ECOSTEEL","GLORA.MARIN@ECOSTEELSRL.IT"
134,"GMT & T SRL",
135,"trasporti merchesi",
136,"BNL",
138,"AUT. PAGANELLI SRL",
139,"STRADALI SRL /IMP.SM",
140,"NOLONORD SRL",
141,"BALESTRA",
142,"MMNOLOBETON",
144,"MARREL SCAVI SRL",
145,"EREDI DI BERTONI",
17,"GIEMME SERVICE & RENT","silviafaletti@gmail.com"
18,"QUARTI ZUCCALI","silviafaletti@gmail.com"
15,"F.LLI PERSONENI","silviafaletti@gmail.com"
19,"SABB","silviafaletti@gmail.com"
112,"beton trasporti srl","silviafaletti@gmail.com"
113,"OTE","silviafaletti@gmail.com"
71,"DI NICOLO' PAOLO","silviafaletti@gmail.com"
83,"generaltrasporti","silviafaletti@gmail.com"
92,"AZZURRA TRASPORTI","silviafaletti@gmail.com"
98,"manenti angelo & c. snc","silviafaletti@gmail.com"
101,"STASS","silviafaletti@gmail.com"
120,"PREVITALI giovanni","silviafaletti@gmail.com"
143,"izotehnica",
