Progressivo,Targa,Tipo,Marca,Ditta,Periodicità,Data_Immatricolazione,Bollo,SospPneum,NumAssi,KW,Regione
228,"CX441WV",1,0,14,4,"01/31/10 00:00:00",233.1,0,0,0,9
186,"DB462XJ",1,0,14,4,"03/31/10 00:00:00",233.1,0,0,0,9
268,"DN520MP",,,16,4,"03/31/10 00:00:00",127.61,0,0,0,9
235,"DR688CX",3,0,14,12,"07/31/10 00:00:00",33.82,0,0,0,9
266,"DT171EE",,,16,4,"03/01/10 00:00:00",127.61,0,0,0,9
2330,"FN155WD",0,0,75,4,"07/31/18 00:00:00",376.6,0,0,0,9
2343,"EP767BC",0,0,75,12,"01/31/19 00:00:00",33.82,0,0,0,9
2345,"EP769BC",0,0,75,12,"01/31/19 00:00:00",33.82,0,0,0,9
2349,"DB420XJ",0,0,75,12,"03/31/19 00:00:00",133.45,0,0,0,9
2357,"EJ94841",6,0,75,12,"05/18/18 00:00:00",34.18,0,0,0,9
2361,"FJ663HZ",0,0,75,12,"06/18/18 00:00:00",182.47,0,0,0,9
2363,"DY857NM",0,0,75,12,"12/31/18 00:00:00",33.82,0,0,0,9
2364,"EJ883TR",0,0,75,12,"12/18/18 00:00:00",33.82,0,0,0,9
2365,"FB884ME",0,0,75,12,"12/18/18 00:00:00",154.09,0,0,0,9
2366,"DP238KW",0,0,76,4,"04/30/18 00:00:00",244.11,0,0,0,9
2790,"EN305LP",0,0,83,12,"05/31/19 00:00:00",44.54,0,0,0,9
2791,"CE691966",0,0,83,12,"01/31/19 00:00:00",58.83,0,0,0,9
2793,"FT323GF",0,0,1,4,"11/30/18 00:00:00",244.16,0,0,0,9
2795,"FT431GF",0,0,16,4,"12/31/18 00:00:00",127.61,0,0,0,9
2796,"FT430GF",0,0,16,4,"12/31/18 00:00:00",127.61,0,0,0,9
2797,"BG976959",0,0,79,12,"01/31/18 00:00:00",42.94,0,0,0,9
2798,"FT449GF",0,0,77,4,"12/31/18 00:00:00",322.61,0,0,0,9
2801,"FM033CR",0,0,2,4,"04/30/19 00:00:00",127.61,0,0,0,9
2815,"EL915GK",0,0,82,4,"03/31/19 00:00:00",1,0,0,0,9
2816,"FL399HC",0,0,82,4,"01/31/19 00:00:00",1,0,0,0,9
2820,"CY788CY",0,0,88,12,"01/31/18 00:00:00",56.64,0,0,0,9
2823,"BH715WG",0,0,88,12,"12/31/17 00:00:00",114.99,0,0,0,9
2825,"DA347PF",0,0,88,12,"03/31/18 00:00:00",115.39,0,0,0,9
2831,"FN015FK",0,0,78,4,"04/30/19 00:00:00",211.53,0,0,0,9
2832,"CZ334EA",0,0,35,12,"11/30/19 00:00:00",125.09,0,0,0,9
2838,"EP009BC",0,0,35,12,"09/30/19 00:00:00",1,0,0,0,9
2839,"EZ885TC",0,0,35,12,"01/31/19 00:00:00",1,0,0,0,9
2840,"FH916LD",0,0,35,12,"02/28/19 00:00:00",713,0,0,0,9
2841,"FM206PM",0,0,35,12,,,0,0,0,9
340,"DH915GP",0,1,19,12,"03/01/10 00:00:00",33.82,0,0,0,9
341,"DH916GP",0,1,19,12,"03/01/10 00:00:00",33.82,0,0,0,9
342,"DH251MV",0,1,19,12,"04/01/10 00:00:00",24.69,0,0,0,9
343,"DH250MV",0,1,19,12,"04/01/10 00:00:00",24.69,0,0,0,9
345,"DT998VE",0,0,19,12,"05/31/10 00:00:00",33.82,0,0,0,9
346,"DC857VV",0,0,19,12,"05/31/10 00:00:00",33.82,0,0,0,9
347,"DC858VV",0,0,19,12,"05/31/10 00:00:00",33.82,0,0,0,9
349,"DT995VE",0,0,19,12,"05/31/10 00:00:00",33.82,0,0,0,9
351,"DD479RG",0,0,19,12,"05/01/10 00:00:00",56.64,0,0,0,7
357,"DR237CR",0,0,19,12,"06/30/10 00:00:00",33.82,0,0,0,9
360,"CX315WV",0,0,19,12,"09/01/10 00:00:00",68.08999999999999,0,0,0,9
361,"CX398WV",0,0,19,12,"09/01/10 00:00:00",33.82,0,0,0,9
362,"CX397WV",0,0,19,12,"09/01/10 00:00:00",33.82,0,0,0,9
364,"CX396WV",0,0,19,12,"09/01/10 00:00:00",33.82,0,0,0,9
365,"DR905ZB",0,0,19,12,"11/01/10 00:00:00",33.82,0,0,0,9
366,"DR904ZB",0,0,19,12,"11/01/10 00:00:00",33.82,0,0,0,9
367,"CS495CT",0,0,19,12,"10/01/10 00:00:00",33.82,0,0,0,9
384,"CL103LT",0,0,16,4,"12/31/18 00:00:00",127.61,0,0,0,9
386,"CX260WV",0,0,17,4,"05/31/25 00:00:00",235.63,0,0,0,9
388,"CZ248EA",0,0,17,4,"03/31/10 00:00:00",235.63,0,0,0,9
478,"CW641HC",8,0,,12,"01/31/11 00:00:00",375.05,1,3,0,5
487,"DH350MR",3,3,28,12,"03/31/10 00:00:00",33.82,0,0,0,9
504,"EC172ME",3,1,28,4,"04/30/10 00:00:00",322.61,1,3,332,9
507,"DL371SM",4,15,29,12,"09/30/10 00:00:00",280.4,0,0,0,9
1446,"EW778CW",0,0,44,12,"04/30/14 00:00:00",221.17,0,0,0,9
428,"AH085KT",3,0,25,12,"01/01/10 00:00:00",1126.05,0,0,0,9
430,"BY206EG",3,0,25,12,"01/31/10 00:00:00",964.09,0,0,0,9
432,"CB100LX",8,0,25,12,"01/31/10 00:00:00",33.82,0,0,0,9
435,"CZ039EA",3,0,25,12,"02/28/10 00:00:00",1126.06,0,0,0,9
436,"DN494DD",3,0,25,12,"12/31/10 00:00:00",24.69,0,0,0,9
525,"CT114ZF",3,3,30,4,"05/31/10 00:00:00",127.61,1,0,0,9
528,"EC018ME",1,1,29,4,"05/31/10 00:00:00",269.35,1,2,69,20
539,"EB307RC",3,0,4,4,"09/30/10 00:00:00",127.61,0,0,0,9
580,"EC715ME",0,0,19,12,"06/30/10 00:00:00",33.82,0,0,0,9
581,"EC716ME",0,0,19,12,"06/30/10 00:00:00",33.82,0,0,0,9
592,"DJ705EL",3,1,33,12,"06/30/10 00:00:00",239.19,0,0,0,9
597,"EC805ME",3,,33,12,"06/30/10 00:00:00",42.94,0,0,0,9
601,"EC876ME",1,7,17,4,"06/30/10 00:00:00",235.63,1,2,0,9
602,"DP362LE",3,0,14,12,"08/31/10 00:00:00",42.94,0,0,0,9
608,"EC930ME",1,1,,12,"05/31/11 00:00:00",233.11,0,0,0,9
646,"ZA220TR",4,0,26,12,"09/30/10 00:00:00",360.97,0,0,0,9
730,"CZ093DW",0,0,14,12,"11/30/10 00:00:00",33.82,0,0,0,9
772,"DD680RG",0,0,35,12,"08/30/11 00:00:00",33.82,0,0,0,9
773,"DD585RG",0,0,35,12,"08/30/11 00:00:00",33.82,0,0,0,9
663,"DP72676",0,0,35,12,"01/31/11 00:00:00",70.26000000000001,0,0,0,9
665,"CJ89117",0,0,35,12,"06/30/11 00:00:00",22.87,0,0,0,9
676,"CM693PC",0,0,35,12,"02/28/11 00:00:00",33.82,0,0,0,9
678,"DJ966EL",0,0,35,12,"06/30/11 00:00:00",56.64,0,0,0,9
679,"GM585AR",0,0,35,12,"12/31/10 00:00:00",125.09,0,0,0,9
