Targa,Scadenza,Data_pagamento,Primo_Avviso,Secondo_Avviso,Bollo,Mora,Interessi
"FE896TJ","10/31/17 00:00:00","12/04/17 00:00:00","11/06/17 00:00:00",,379.09,,
"FE896TJ","10/31/18 00:00:00","12/03/18 00:00:00","11/06/18 00:00:00",,379.09,,
"FE896TJ","10/31/19 00:00:00","11/18/19 00:00:00","11/12/19 00:00:00",,379.09,,
"FE896TJ","10/31/20 00:00:00","11/13/20 00:00:00",,,379.09,,
"FE896TJ","10/31/21 00:00:00","11/17/21 00:00:00",,,379.09,,
"FE896TJ","10/31/22 00:00:00","11/08/22 00:00:00",,,379.09,,
"FE896TJ","10/31/23 00:00:00","11/15/23 00:00:00",,,379.09,,
"FE896TJ","10/31/24 00:00:00","11/14/24 00:00:00",,,379.09,,
"FE896TJ","10/31/25 00:00:00","11/07/25 00:00:00",,,379.09,,
"FE896TJ","10/31/26 00:00:00",,,,379.09,,
"FE896TJ","10/31/27 00:00:00",,,,379.09,,
"FE896TJ","10/31/28 00:00:00",,,,379.09,,
"FE896TJ","10/31/29 00:00:00",,,,379.09,,
"FE896TJ","10/31/30 00:00:00",,,,379.09,,
"FE896TJ","10/31/31 00:00:00",,,,379.09,,
"FE896TJ","10/31/32 00:00:00",,,,379.09,,
"FE896TJ","10/31/33 00:00:00",,,,379.09,,
"FE896TJ","10/31/34 00:00:00",,,,379.09,,
"FE896TJ","10/31/35 00:00:00",,,,379.09,,
"FE896TJ","10/31/36 00:00:00",,,,379.09,,
"FE896TJ","10/31/37 00:00:00",,,,379.09,,
"FE896TJ","10/31/38 00:00:00",,,,379.09,,
"FE896TJ","10/31/39 00:00:00",,,,379.09,,
"FE896TJ","10/31/40 00:00:00",,,,379.09,,
"FE896TJ","10/31/41 00:00:00",,,,379.09,,
"FE896TJ","10/31/42 00:00:00",,,,379.09,,
"FE896TJ","10/31/43 00:00:00",,,,379.09,,
"FE896TJ","10/31/44 00:00:00",,,,379.09,,
"FE896TJ","10/31/45 00:00:00",,,,379.09,,
"FE896TJ","10/31/46 00:00:00",,,,379.09,,
"FE896TJ","10/31/47 00:00:00",,,,379.09,,
"FE896TJ","10/31/48 00:00:00",,,,379.09,,
"FE896TJ","10/31/49 00:00:00",,,,379.09,,
"FE896TJ","10/31/50 00:00:00",,,,379.09,,
"FE896TJ","10/31/51 00:00:00",,,,379.09,,
"FE896TJ","10/31/52 00:00:00",,,,379.09,,
"FE896TJ","10/31/53 00:00:00",,,,379.09,,
"FE896TJ","10/31/54 00:00:00",,,,379.09,,
"FE896TJ","10/31/55 00:00:00",,,,379.09,,
"FE896TJ","10/31/56 00:00:00",,,,379.09,,
"FE896TJ","10/31/57 00:00:00",,,,379.09,,
"FE896TJ","10/31/58 00:00:00",,,,379.09,,
"FE896TJ","10/31/59 00:00:00",,,,379.09,,
"FE896TJ","10/31/60 00:00:00",,,,379.09,,
"FE896TJ","10/31/61 00:00:00",,,,379.09,,
